name,link,year,employees,avg,median,type
Christopher Newport University,https://govsalaries.com/salaries/VA/christopher-newport-university?year=2020,2020,3305,20779,20779,1
Eastern Virginia Medical School,https://govsalaries.com/salaries/VA/eastern-virginia-medical-school?year=2020,2020,1645,83654,83654,1
George Mason University,https://govsalaries.com/salaries/VA/george-mason-university?year=2020,2020,8105,55329,55329,1
James Madison University,https://govsalaries.com/salaries/VA/james-madison-university?year=2020,2020,3116,64480,64480,1
Longwood University,https://govsalaries.com/salaries/VA/longwood-university?year=2020,2020,1845,28222,28222,1
Norfolk State University,https://govsalaries.com/salaries/VA/norfolk-state-university?year=2020,2020,2250,28040,28040,1
Old Dominion University,https://govsalaries.com/salaries/VA/old-dominion-university?year=2020,2020,2765,66243,66243,1
Radford University,https://govsalaries.com/salaries/VA/radford-university?year=2020,2020,3990,25313,25313,1
University of Mary Washington,https://govsalaries.com/salaries/VA/university-of-mary-washington?year=2020,2020,1939,25206,25206,1
University of Virginia,https://govsalaries.com/salaries/VA/university-of-virginia?year=2020,2020,18506,76113,76113,1
University of Virginia's College at Wise,https://govsalaries.com/salaries/VA/university-of-virginia-s-college-at-wise?year=2020,2020,329,52422,52422,1
Virginia Military Institute,https://govsalaries.com/salaries/VA/virginia-military-institute?year=2020,2020,604,56308,56308,1
Virginia State University,https://govsalaries.com/salaries/VA/virginia-state-university?year=2020,2020,1554,30988,30988,1
Virginia Tech,https://govsalaries.com/salaries/VA/virginia-tech?year=2020,2020,8134,75105,75105,1
