name,link,year,employees,avg,median
Fairfax County Public Schools,https://govsalaries.com/salaries/VA/fairfax-county-public-schools?year=2020,2020,27690,65616,65616
University of Virginia,https://govsalaries.com/salaries/VA/university-of-virginia?year=2020,2020,18506,76113,76113
Fairfax County,https://govsalaries.com/salaries/VA/fairfax-county?year=2020,2020,12548,76615,76615
Loudoun County Public Schools,https://govsalaries.com/salaries/VA/loudoun-county-public-schools?year=2020,2020,12474,62894,62894
Virginia Beach City Public Schools,https://govsalaries.com/salaries/VA/virginia-beach-city-public-schools?year=2020,2020,10318,46684,46684
Virginia Tech,https://govsalaries.com/salaries/VA/virginia-tech?year=2020,2020,8134,75105,75105
George Mason University,https://govsalaries.com/salaries/VA/george-mason-university?year=2020,2020,8105,55329,55329
Department of Alcoholic Beverage Control,https://govsalaries.com/salaries/VA/department-of-alcoholic-beverage-control?year=2020,2020,7421,14241,14241
Chesterfield County Public Schools,https://govsalaries.com/salaries/VA/chesterfield-county-public-schools?year=2020,2020,7179,46834,46834
City of Virginia Beach,https://govsalaries.com/salaries/VA/city-of-virginia-beach?year=2020,2020,6931,47991,47991
Henrico County Public Schools,https://govsalaries.com/salaries/VA/henrico-county-public-schools?year=2020,2020,6496,48226,48226
Prince William County,https://govsalaries.com/salaries/VA/prince-william-county?year=2020,2020,6328,58248,58248
Newport News Public Schools,https://govsalaries.com/salaries/VA/newport-news-public-schools?year=2020,2020,5950,34547,34547
Chesapeake Public Schools,https://govsalaries.com/salaries/VA/chesapeake-public-schools?year=2020,2020,5826,46762,46762
Norfolk Public Schools,https://govsalaries.com/salaries/VA/norfolk-public-schools?year=2020,2020,5796,37861,37861
City of Chesapeake,https://govsalaries.com/salaries/VA/city-of-chesapeake?year=2020,2020,4668,41114,41114
Stafford County Public Schools,https://govsalaries.com/salaries/VA/stafford-county-public-schools?year=2020,2020,4467,45015,45015
City of Norfolk,https://govsalaries.com/salaries/VA/city-of-norfolk?year=2020,2020,4421,51788,51788
Northern Virginia Community College,https://govsalaries.com/salaries/VA/northern-virginia-community-college?year=2020,2020,4332,36173,36173
Loudoun County,https://govsalaries.com/salaries/VA/loudoun-county?year=2020,2020,4317,76725,76725
City of Richmond,https://govsalaries.com/salaries/VA/city-of-richmond?year=2020,2020,4140,56410,56410
Radford University,https://govsalaries.com/salaries/VA/radford-university?year=2020,2020,3990,25313,25313
Chesterfield County,https://govsalaries.com/salaries/VA/chesterfield-county?year=2020,2020,3832,45066,45066
Virginia Department of Health,https://govsalaries.com/salaries/VA/virginia-department-of-health?year=2020,2020,3819,50328,50328
Alexandria City Public Schools,https://govsalaries.com/salaries/VA/alexandria-city-public-schools?year=2020,2020,3771,49437,49437
Albemarle County Public Schools,https://govsalaries.com/salaries/VA/albemarle-county-public-schools?year=2020,2020,3618,48170,48170
Albemarle County,https://govsalaries.com/salaries/VA/albemarle-county?year=2020,2020,3615,48214,48214
Henrico County,https://govsalaries.com/salaries/VA/henrico-county?year=2020,2020,3568,58423,58423
Richmond Public Schools,https://govsalaries.com/salaries/VA/richmond-public-schools?year=2020,2020,3501,49343,49343
Christopher Newport University,https://govsalaries.com/salaries/VA/christopher-newport-university?year=2020,2020,3305,20779,20779
William &amp; Mary College,https://govsalaries.com/salaries/VA/william-mary-college?year=2020,2020,3303,61367,61367
City of Alexandria,https://govsalaries.com/salaries/VA/city-of-alexandria?year=2020,2020,3188,62861,62861
James Madison University,https://govsalaries.com/salaries/VA/james-madison-university?year=2020,2020,3116,64480,64480
City of Newport News,https://govsalaries.com/salaries/VA/city-of-newport-news?year=2020,2020,3068,54703,54703
Virginia State Police,https://govsalaries.com/salaries/VA/virginia-state-police?year=2020,2020,3050,62407,62407
Spotsylvania County Public Schools,https://govsalaries.com/salaries/VA/spotsylvania-county-public-schools?year=2020,2020,2929,48117,48117
Department of Motor Vehicles,https://govsalaries.com/salaries/VA/department-of-motor-vehicles?year=2020,2020,2831,36117,36117
Old Dominion University,https://govsalaries.com/salaries/VA/old-dominion-university?year=2020,2020,2765,66243,66243
Martinsville City Public Schools,https://govsalaries.com/salaries/VA/martinsville-city-public-schools?year=2020,2020,2601,1186,1186
Augusta County Public Schools,https://govsalaries.com/salaries/VA/augusta-county-public-schools?year=2020,2020,2402,27182,27182
Department of Corrections,https://govsalaries.com/salaries/VA/department-of-corrections?year=2020,2020,2309,40009,40009
Norfolk State University,https://govsalaries.com/salaries/VA/norfolk-state-university?year=2020,2020,2250,28040,28040
Tidewater Community College,https://govsalaries.com/salaries/VA/tidewater-community-college?year=2020,2020,2208,29633,29633
Henry County,https://govsalaries.com/salaries/VA/henry-county?year=2020,2020,2191,32150,32150
Roanoke County Public Schools,https://govsalaries.com/salaries/VA/roanoke-county-public-schools?year=2020,2020,2125,41374,41374
Rockingham County Public Schools,https://govsalaries.com/salaries/VA/rockingham-county-public-schools?year=2020,2020,2024,39570,39570
Suffolk Public Schools,https://govsalaries.com/salaries/VA/suffolk-public-schools?year=2020,2020,2023,45669,45669
